static_x_mm,static_y_mm,static_z_mm,static_x_deg,static_y_deg,static_z_deg
-29.28763166,273.6045286,-1742.447042,-28.30571128,-34.13271994,10.70058969
-494.943671,-558.7344935,-2023.075,-21.83074972,-31.64399081,5.480731055
-242.6608931,297.005538,-1688.747072,-20.08259423,-46.34025964,28.5034385
-33.34615446,-317.374593,-1712.718138,-31.18210794,-40.33401541,13.07865984
-444.2563065,31.48640751,-1633.274477,-17.92816471,-45.41208621,-8.805638827
-213.4622374,-316.7201273,-1683.478725,-21.91499908,-31.82334393,20.06258815
-35.93828193,53.33519592,-1726.656104,-8.211803255,-42.78948753,11.38928514
-487.3231902,-360.392611,-2040.647244,-16.60460541,-26.19169913,7.833171759
-251.7550931,102.2669352,-1677.129518,-31.64861386,-51.33979986,24.03309033
-108.7816944,-526.3809944,-2106.287555,-24.79633874,-35.61103685,21.09089442
-513.2277739,257.7909964,-2039.822359,-46.87706154,-35.37674121,-3.190715344
-293.3163844,-550.0182757,-2071.496902,-22.82826045,-28.14198993,10.07079804
-63.90631695,240.5687061,-1945.631278,-30.9205988,-24.84559712,-2.888512798
-447.5594539,-348.9423277,-1840.340283,-13.92072446,-29.28728829,11.08535627
-266.9909854,276.3880594,-1895.282926,-19.75698807,-36.14142831,20.98225025
-83.41702021,-316.5521561,-1904.889006,-21.4264358,-45.18171455,23.98278141
-504.8376902,58.10215086,-2038.641343,-12.42444194,-38.05583122,19.00511093
-316.9154937,-339.0511854,-2059.19682,-52.38939873,-36.7679357,-5.456323377
-130.4771425,224.7350565,-2122.285645,-19.88340193,-41.16697105,-4.82676768
-402.6684842,-326.6812412,-1647.204478,-37.55394214,-24.37940527,7.757126816
-299.7993757,286.0227404,-2107.195477,-55.87385742,-25.46931412,12.55675183
-122.7962769,-320.8270785,-2104.05963,-51.68082839,-40.43745135,5.364552875
-455.2644241,282.0513738,-1861.264578,-30.59805769,-30.04907201,18.62816802
-275.4980836,-348.3472566,-1861.392783,-30.34067311,-40.08034856,-0.137162119
-92.87318789,53.57552332,-2148.744995,-45.76603028,-15.99142691,3.232192061
